student_id,age,gender,study_hours,attendance_rate,assignment_score,midterm_score,final_score,internet_access,parent_education,sleep_hours,part_time_job,stress_level,extracurricular,final_grade
24,21,Male,4.47,86.07,85.14,65.19,60.7,Yes,High School,7.45,Yes,7,Yes,F
25,22,Male,2.21,92.43,77.12,46.08,67.15,Yes,Bachelor,5.69,No,3,Yes,A
26,18,Female,4.42,84.56,92.26,45.4,93.71,Yes,Master,6.21,No,6,No,F
27,21,Female,2.92,94.38,73.76,77.08,94,Yes,High School,6.73,No,5,No,A
28,19,Female,5.36,75.7,71.44,73.2,91.06,Yes,PhD,5.52,Yes,1,No,A
29,23,Female,2.99,98.25,68.86,75.26,65.07,Yes,Master,7.22,Yes,3,No,D
30,22,Male,3.02,65.33,76.89,71.61,85.61,No,PhD,8.41,No,1,No,F
31,21,Male,4.67,64.09,79.67,72.57,73.69,Yes,Master,8.25,Yes,4,Yes,C
32,18,Male,4.02,86.35,79.86,81.63,72.68,Yes,Bachelor,7.74,No,3,No,D
33,18,Female,7.41,97.71,78.49,75.34,70.84,Yes,PhD,7.73,Yes,4,No,A
34,20,Female,1.56,92.36,81.71,82.49,98.38,No,PhD,9.22,No,9,Yes,C
35,20,Male,4.16,63.06,72.77,72.06,92.49,Yes,Bachelor,7.84,No,3,Yes,B
36,24,Male,5.69,71.17,66.27,66.4,83.17,Yes,PhD,7.93,Yes,6,No,B
37,19,Female,3.13,97.21,65.4,72.33,69.45,Yes,Master,5.56,Yes,6,No,D
38,21,Female,2.63,70.12,84.75,59.97,72.59,Yes,High School,8.33,Yes,7,No,C
39,21,Male,2.69,91.25,79.7,65.44,79.96,Yes,High School,7.4,Yes,9,Yes,F
40,24,Male,1.58,93.01,56.44,72.13,64.18,Yes,Bachelor,6.92,No,7,No,C
41,23,Female,6.02,79.82,85.97,71.97,86.07,No,Master,6.67,No,1,Yes,D
42,23,Male,3.51,75.45,93.8,68.72,58.18,No,PhD,6.45,Yes,8,Yes,F
43,24,Male,3.33,78,67.84,53.34,77.88,Yes,PhD,8.26,Yes,5,Yes,F
44,23,Male,0.81,69.08,78.36,77.64,37.65,No,High School,6.97,No,9,Yes,B
45,20,Female,1.85,95.58,70.27,80.01,63.74,Yes,PhD,6.49,Yes,5,No,C
46,21,Female,6.2,78.02,81.28,89.72,103.17,Yes,High School,6.23,Yes,5,Yes,F
47,24,Female,4.45,95.3,63.34,75.3,87.54,Yes,Bachelor,7.17,Yes,2,Yes,D
48,21,Female,5.75,64.23,74.29,70.02,95.03,Yes,PhD,6.64,Yes,3,No,B
49,18,Female,5.56,99.53,84.81,57.84,61.99,Yes,Master,6.41,No,9,Yes,F
50,20,Female,2.5,77.73,87.36,87.9,73.56,Yes,PhD,5.62,No,7,No,C
51,22,Female,7.64,61.91,79.26,72.97,91.23,Yes,High School,7.96,Yes,1,Yes,B
52,20,Male,6.92,61.52,71.61,72.32,81.5,Yes,Bachelor,6.86,No,3,No,C
53,24,Male,3.15,89.85,59.07,66.95,79.63,Yes,High School,5.91,Yes,2,Yes,C
54,22,Male,-1.35,86.36,67.42,66.18,96.46,Yes,PhD,6.73,Yes,1,Yes,C
55,18,Male,3.47,92.09,70.31,78.26,56.39,Yes,High School,7.55,Yes,9,No,B
56,24,Male,4.36,64.21,68.02,57.74,69.24,Yes,High School,7.03,No,8,Yes,F
57,19,Male,3.15,61.42,75.6,89.51,45.69,No,Bachelor,7.19,No,5,Yes,A
58,21,Male,3.67,80.34,71.58,86.89,55.57,Yes,Master,7.04,No,2,No,F
59,18,Female,2.76,75.5,76.72,65.75,88.11,Yes,PhD,5.72,No,1,Yes,B
60,21,Female,5.38,78.48,87.03,59.63,58.24,No,Bachelor,7.95,No,7,Yes,A
61,23,Male,4.1,99.66,70.94,45.82,83.03,Yes,Master,5.29,Yes,2,No,A
62,19,Male,5.43,98.83,61.17,54.98,96.88,Yes,High School,7.46,Yes,1,No,A
63,19,Female,5.83,97.69,67.98,78.76,69.33,Yes,Master,7.62,No,2,No,D
64,18,Male,0.74,91.35,80.84,73.78,79.8,Yes,High School,6.78,No,7,No,B
65,19,Male,2.84,74.19,81.78,75.92,83.15,Yes,High School,7.35,No,7,No,D
66,22,Female,3.06,76.49,79.06,47.85,53.68,Yes,Bachelor,6.72,Yes,6,Yes,A
67,19,Male,7.86,81.98,88.01,65.25,62.75,Yes,High School,7.37,No,5,No,D
68,21,Female,4.22,93.22,73.14,86.41,56.95,Yes,Bachelor,7.99,Yes,3,Yes,D
69,21,Male,5.22,62.75,95.52,68.85,63.95,Yes,Master,6.21,Yes,3,No,B
70,24,Female,1.18,76.97,83.18,54.73,82.74,Yes,Master,7.67,No,9,Yes,C
71,21,Female,4.21,63.3,49.77,68.66,63.07,Yes,High School,8.69,Yes,4,Yes,D
72,24,Female,5.47,80.59,93.01,60.75,71.47,Yes,Bachelor,7.26,Yes,9,No,D
73,21,Male,5.29,95.96,67.33,74,56.36,Yes,High School,6.5,No,4,Yes,A
74,22,Female,4.94,91.3,64.66,70.25,90.4,Yes,Bachelor,9.26,Yes,2,Yes,A
75,24,Male,4.02,69.11,80.24,76.52,63.82,Yes,Bachelor,7.09,No,4,No,A
76,20,Male,4.09,99.04,57.62,55.38,94.84,Yes,Bachelor,7.23,Yes,6,No,F
77,23,Male,1.46,86.69,68.05,64.62,72.91,Yes,Master,7.25,No,6,No,D
78,18,Male,2.65,60.42,90.57,83.09,50.9,Yes,Bachelor,7.45,No,5,No,A
79,21,Female,4.35,70.22,80.56,53.75,69.43,Yes,Master,6.66,Yes,1,Yes,B
80,19,Female,2.93,70.43,83.12,57.96,56.06,No,Bachelor,7.19,No,3,Yes,F
81,21,Male,5.03,62.77,68.43,72.39,80.84,Yes,Master,7.95,Yes,5,Yes,C
82,19,Male,4.7,98.39,59.62,73.44,68.08,Yes,PhD,6.63,Yes,6,Yes,D
83,23,Female,6.05,79.13,82.07,64.13,74.45,No,Master,6.58,No,1,Yes,D
84,23,Male,5.44,95.83,84.3,66.66,66.46,Yes,Master,6.71,Yes,9,Yes,B
85,23,Female,4.34,72.89,83.85,76.4,63.67,Yes,High School,5.9,No,3,No,C
86,19,Male,5.12,65.01,77.09,80.2,57.4,Yes,Bachelor,6.32,Yes,3,Yes,C
87,21,Male,5.51,78.97,65.33,57.17,84.54,Yes,PhD,6.28,Yes,2,Yes,F
88,23,Female,3.24,64.56,99.38,74.37,69.4,Yes,High School,7,No,8,Yes,D
89,22,Male,3.51,79.44,79.8,88.14,67.28,Yes,Bachelor,7.84,Yes,3,No,A
90,24,Female,3.85,96.81,73.26,68.61,69.03,Yes,PhD,8.45,Yes,6,No,B
91,19,Male,3.29,80.83,73.31,57.04,61.82,Yes,PhD,7.06,Yes,2,No,B
92,19,Male,5.52,84.66,76.5,56.49,67.33,Yes,PhD,7.46,Yes,7,No,B
93,21,Male,3.06,66.27,85.7,68.07,75.08,Yes,Bachelor,7.24,Yes,4,Yes,B
94,19,Female,5.88,61.75,76.9,82.43,56.49,Yes,PhD,4.91,Yes,9,Yes,A
95,19,Male,3.45,64.43,83.59,69.51,58.66,Yes,PhD,5.85,Yes,9,Yes,A
96,23,Male,4.71,83.94,76.51,72.27,92.67,Yes,High School,7.76,Yes,7,No,F
97,21,Male,4.25,63.8,73.88,58.04,66.56,No,Master,7.86,No,8,Yes,D
98,23,Male,2.54,75.04,81.41,81.8,63.73,Yes,Bachelor,7.84,Yes,3,Yes,A
99,24,Female,3.97,82,81.03,56.25,51.84,Yes,Master,6.82,Yes,5,Yes,F
100,24,Female,4.5,75.55,73.3,63.95,84.76,Yes,High School,5.01,No,2,No,C
101,23,Male,3.9,66.55,67.51,77.56,56.16,Yes,Master,5.97,No,7,No,D
102,24,Female,1.99,70.95,78.42,45.53,71.77,Yes,PhD,6.12,No,8,No,A
103,21,Male,6.55,97.13,75.78,72.09,46.38,Yes,PhD,7.63,Yes,9,Yes,C
104,18,Male,4.13,87.04,69.45,57.53,84.27,Yes,Bachelor,6.64,No,7,Yes,F
105,23,Male,2.81,79.84,66.58,70.2,89.65,Yes,Bachelor,8.69,No,8,Yes,A
106,22,Female,6.43,60.51,79.1,65.78,79.27,Yes,Bachelor,8.47,Yes,9,Yes,A
107,22,Female,4.93,99.7,80.5,95.27,48.98,Yes,High School,8.67,Yes,6,No,C
108,19,Female,2.2,86.86,71.4,65.28,84.58,No,Bachelor,6.08,No,2,Yes,A
109,24,Female,2.43,72.68,69.2,92.11,59.59,Yes,High School,7.49,No,2,No,B
110,22,Female,3.67,95.17,66.7,77.04,54.44,Yes,PhD,6.52,Yes,4,Yes,A
111,19,Female,4.45,70.34,78.82,60.38,66.25,Yes,Master,7.33,Yes,9,No,D
112,18,Female,4.93,81.76,66.96,73.97,65.95,Yes,PhD,6.19,Yes,7,Yes,C
113,21,Female,5.43,85.44,97.41,66.35,64.42,Yes,PhD,8.23,Yes,2,Yes,D
114,21,Female,4.81,68.84,70.9,72.91,91.11,Yes,PhD,6.21,Yes,8,No,F
115,21,Male,6.02,99.14,50.75,61.43,102.18,Yes,Bachelor,5.05,No,7,No,D
116,22,Female,4.19,89.93,74.7,90.28,51.46,Yes,Bachelor,9.03,Yes,9,Yes,B
117,18,Female,2.86,82.31,74.27,81.1,61.67,Yes,Bachelor,7.44,Yes,8,Yes,B
118,22,Female,3.99,67.22,86.12,70.38,74.14,Yes,Master,5.93,Yes,3,Yes,D
119,24,Female,3.9,62.15,77.88,90.75,66.17,Yes,Bachelor,6.84,Yes,1,No,F
120,22,Female,0.13,72.8,66.66,70.89,77.99,Yes,High School,6.42,Yes,2,Yes,A
121,18,Female,3.16,90.13,72.14,83.17,85.74,Yes,PhD,7.01,No,2,No,B
122,18,Female,4.47,70.77,78.27,70.46,83.24,Yes,Master,7.8,Yes,4,Yes,D
123,24,Female,3.36,81.58,53.35,74.73,81.15,Yes,Master,7.65,No,6,Yes,D
124,18,Female,3.03,89.12,88.39,69.02,96.89,No,Master,7.25,Yes,4,Yes,D
125,18,Female,5.37,64.32,66.69,71.14,48.17,Yes,Master,7.01,No,9,Yes,A
126,21,Female,2.63,87.41,89.17,72.05,94.2,Yes,Master,8.08,No,4,No,C
127,24,Male,5.07,63.67,78.92,61.96,65.81,Yes,High School,5.07,Yes,6,No,F
128,20,Male,2,98.61,81.3,65.19,83.78,Yes,PhD,6.25,Yes,6,Yes,C
129,20,Female,8.14,79.54,86.49,67.4,56.56,Yes,Master,6.02,Yes,1,Yes,F
130,18,Female,3.68,66.03,80.73,72.76,58.37,Yes,PhD,8.01,Yes,8,Yes,F
131,20,Male,3.52,73.7,81.73,69.63,81.93,No,Bachelor,6.26,Yes,3,No,D
132,20,Female,5.71,76.54,73.36,84.08,43.07,Yes,Master,5.71,No,6,Yes,B
133,18,Male,3.37,90.33,78.72,80.17,86.84,Yes,Master,7.55,Yes,3,No,D
134,20,Male,6.18,89.74,69.13,67.64,90.9,Yes,PhD,6.09,Yes,2,No,A
135,22,Male,4.56,84.48,71.57,86.58,74.67,Yes,Master,6.65,No,5,No,F
136,19,Male,3.82,64.24,94.65,92.48,74.13,Yes,Master,9.38,Yes,1,No,B
137,24,Male,3.66,66.06,66.92,45.47,59.5,Yes,Master,7.79,No,9,Yes,F
138,19,Female,5.81,63.75,76.54,81.19,82.12,No,High School,6.79,Yes,7,Yes,F
139,18,Male,4.35,83.09,76.13,61.68,77.21,Yes,High School,6.88,No,3,No,D
140,21,Female,4.65,95.09,71.89,79.61,58.18,Yes,Master,7.91,Yes,4,Yes,B
141,24,Female,4.81,77.35,80.14,84.86,66.13,Yes,High School,7.66,No,6,Yes,B
142,18,Male,4.2,66.43,80.9,59.48,69.61,Yes,Bachelor,7.08,No,3,Yes,F
143,21,Male,4.78,82.32,65.74,47.77,66.11,Yes,Master,7.1,Yes,7,No,B
144,19,Female,3.82,92.47,76.01,80.03,51.56,Yes,Bachelor,5.52,Yes,6,Yes,B
145,18,Male,3.93,89.67,64.18,71.62,82.49,Yes,PhD,5.31,Yes,9,Yes,D
146,24,Male,2.32,95.26,82.89,49.98,68.35,Yes,Bachelor,6.82,No,5,Yes,C
147,24,Female,4.45,71.12,76.76,100.35,72.23,No,PhD,6.37,No,4,Yes,A
148,23,Female,1.42,67.76,75.82,77.49,63.33,No,Master,7.59,No,3,Yes,C
149,22,Male,4.43,95.19,81.59,78.04,79.13,Yes,PhD,7.2,Yes,1,Yes,B
150,20,Female,3.58,86.3,72.24,86.39,74.98,Yes,PhD,6.23,Yes,3,Yes,F
151,21,Male,4.56,72.44,84.14,63.03,90.19,Yes,Bachelor,7.16,No,3,Yes,A
152,23,Male,2.43,89.69,65.52,71.57,79.21,Yes,Bachelor,6.58,Yes,7,Yes,A
153,20,Male,0.82,92.6,89.12,54.17,68.96,Yes,Bachelor,9.07,No,7,Yes,F
154,20,Female,3.47,84.6,69.49,62.7,60.9,Yes,Master,7.39,Yes,1,No,A
155,18,Female,2.43,87.52,58.04,74.63,84.99,Yes,Master,5.44,Yes,3,Yes,F
156,20,Female,1.33,75.01,71.71,50.02,67.76,Yes,Bachelor,8.82,No,8,No,A
157,22,Female,5.15,81.55,70.58,62.36,69.42,Yes,Master,6.37,Yes,9,Yes,C
158,24,Female,6.4,80.97,71.64,58.86,69.42,Yes,Master,6.03,Yes,7,No,A
159,23,Male,2.8,93.92,77.32,71.71,65.98,Yes,PhD,9.14,Yes,7,No,D
160,20,Male,3.89,93.6,85.98,76.9,69.68,Yes,PhD,7.35,Yes,8,Yes,F
161,18,Male,3.54,93.31,73.08,78.91,100.89,Yes,Bachelor,7.7,Yes,6,No,A
162,22,Male,3.01,60.44,68.08,81.99,56.28,Yes,Master,7.73,No,3,No,F
163,19,Female,5,89.98,63.73,86.47,59.78,No,PhD,6.79,Yes,1,No,D
164,24,Male,5.52,90.35,70.32,77.29,92.76,Yes,High School,6.43,No,7,Yes,A
165,24,Female,2.7,87.14,56.12,92.65,66.38,Yes,Master,6.59,Yes,1,No,A
166,23,Male,4.07,90.25,67.75,71.43,65.24,Yes,High School,8.61,Yes,1,No,D
167,24,Female,5.93,93.68,87.44,67.92,87.52,No,Bachelor,7.2,No,9,Yes,D
168,20,Female,5.03,78.81,66.77,77.29,50.7,Yes,Master,8.31,No,7,No,D
169,18,Male,5.26,80.08,81.29,67.4,84.32,Yes,Bachelor,6.92,Yes,4,No,F
170,24,Male,6.05,64.99,62.74,92.23,72.68,No,Bachelor,6.24,Yes,6,No,D
171,24,Male,6.03,75.42,92.71,83.57,78.97,Yes,Bachelor,5.56,No,1,Yes,F
172,19,Male,5.54,85.73,93.38,79,78.69,No,Bachelor,7.65,No,7,No,C
173,19,Female,4.22,91.22,80.91,71.58,62.58,No,Bachelor,8.69,No,6,Yes,A
174,21,Male,3.43,68.69,94.91,65.11,87.77,No,Master,6.11,No,4,No,A
175,22,Male,4.16,65.51,78.56,78.42,63.75,Yes,High School,7.51,Yes,7,No,B
176,20,Female,3.2,86.52,82.69,56.47,78.13,Yes,Master,5.62,Yes,3,No,C
177,24,Male,1.07,60.08,87.62,88.41,90.57,Yes,Master,6.44,Yes,1,No,D
178,24,Male,3.58,67.13,76.8,67.87,92.68,Yes,Master,7.27,Yes,4,Yes,D
179,18,Male,4.54,61.16,59.48,73.66,67.99,Yes,PhD,5.27,Yes,3,No,C
180,21,Male,3.12,66.68,82.89,59.08,78.95,Yes,PhD,6.98,No,1,Yes,D
181,22,Male,3.71,67.25,70.28,78.68,66.61,Yes,Master,6.16,No,2,No,B
182,21,Female,3.77,75.51,71.02,64.56,109.56,Yes,High School,7.6,No,5,Yes,F
183,23,Male,6.04,76.09,77.98,77.79,83.7,Yes,Master,6.83,Yes,8,No,A
184,22,Male,3.46,94.97,80.66,79.09,73.26,Yes,Bachelor,7.94,No,1,No,C
185,24,Male,6.03,80.4,76.5,62.23,76.69,Yes,PhD,6.72,Yes,4,Yes,A
186,24,Male,-0.07,88.94,81.36,56.52,78.11,Yes,PhD,5.64,Yes,4,Yes,F
187,22,Male,6.02,64.17,67.93,88.38,78.55,Yes,Master,5.51,Yes,5,Yes,C
188,24,Female,5.95,69.02,74.57,67.69,68.4,Yes,Master,5.09,No,7,Yes,F
189,20,Male,5.35,88.12,83.49,72.7,66.09,Yes,High School,7.63,Yes,8,No,D
190,22,Female,0.98,62.11,92.73,75.83,69.72,Yes,High School,9.56,Yes,6,Yes,D
191,21,Female,5.53,79.46,96.26,54.96,54.9,Yes,Bachelor,7.44,No,1,Yes,D
192,22,Male,3.92,83.97,79.33,75.55,82.77,Yes,Master,8.67,Yes,7,Yes,F
193,24,Male,0.21,84.09,83.4,71.19,59.97,Yes,Master,8.13,No,3,No,F
194,20,Male,5.95,60.92,94.82,62.28,56.1,No,Master,6.48,Yes,6,No,F
195,20,Male,6.17,72.88,68.29,56.12,71.78,Yes,PhD,8.27,No,8,No,A
196,23,Female,1.14,85.46,81.3,77.27,70.05,Yes,Bachelor,6.52,Yes,7,No,F
197,21,Male,4.26,65.96,82.68,83.53,75.74,Yes,High School,6.54,Yes,6,Yes,D
198,19,Male,6.08,87.82,89.48,72.14,63.48,Yes,PhD,6.79,No,9,No,B
199,19,Male,5.85,89.84,63.63,52.79,66.11,Yes,PhD,6.84,Yes,9,Yes,F
200,22,Male,5.25,99.28,65.61,57.31,82.38,Yes,PhD,7.66,No,1,No,B
201,23,Male,0.03,68.39,75.21,64.81,81.47,Yes,PhD,6.33,Yes,1,Yes,D
202,18,Male,5.09,93.01,78.78,88.78,80.84,Yes,Bachelor,7.89,No,1,Yes,F
203,22,Female,3.67,80.81,86.23,67.04,72.51,Yes,Master,7.87,Yes,8,Yes,A
204,23,Female,5.49,74.94,80.18,64.38,74.53,Yes,High School,7.34,Yes,7,Yes,A
205,21,Male,4.38,64.9,73.49,49.92,75.46,Yes,High School,8.94,Yes,3,Yes,B
206,21,Male,3.97,89.42,79.16,62.12,62.16,No,PhD,8.29,No,2,No,A
207,21,Male,4.96,69.43,78.01,55.2,94.11,Yes,PhD,8.07,No,4,Yes,A
208,21,Female,3.74,74.86,92.45,57.96,91.97,Yes,Bachelor,7.07,No,3,Yes,A
209,21,Male,3.96,62.5,76.66,71.44,83.91,Yes,PhD,7.35,No,7,Yes,D
210,23,Female,3.17,92.05,71.17,65.19,65.61,Yes,High School,7.52,No,8,Yes,A
211,23,Male,1.59,90.66,79.5,90.39,80.09,Yes,High School,7.01,Yes,6,No,C
212,20,Male,4.85,89.34,76.98,82.94,86.68,Yes,Master,6.62,Yes,3,No,F
213,19,Male,2.79,71.98,59.29,62.69,53.65,Yes,Master,4.59,Yes,6,Yes,A
214,24,Male,3.7,66.94,74.84,59,97.42,Yes,High School,7.72,Yes,2,Yes,A
215,21,Female,4.43,85.5,73.99,86.59,45.91,Yes,High School,8.04,Yes,7,Yes,A
216,18,Female,0.87,79.85,69.56,89.92,82.57,Yes,Bachelor,5.84,No,7,Yes,C
217,24,Male,1.21,67.13,85.36,43.67,93.8,No,Bachelor,7.61,Yes,4,No,A
218,23,Male,3.55,87.44,67.14,71.11,70.3,Yes,High School,6.41,No,8,No,A
219,18,Female,4.68,99.65,79.56,66.98,69.74,Yes,PhD,6.63,Yes,4,Yes,F
220,18,Female,5.12,89.89,73.52,77.79,82.01,Yes,Master,8.31,No,7,Yes,C
221,18,Female,1.61,89.6,76.08,93.31,99.78,Yes,High School,6.01,No,4,Yes,C
222,20,Female,4.95,98.01,79.12,64.19,67.78,No,PhD,6.01,No,5,Yes,A
223,23,Male,3.63,68.12,61.92,45.27,60.29,Yes,High School,8.8,Yes,7,Yes,C
224,18,Female,2.68,82.62,76.92,76.95,65.64,Yes,Master,6.85,Yes,3,No,B
225,21,Male,3.03,99.19,97.89,86.68,48.71,Yes,Master,8.25,Yes,5,No,C
226,22,Female,5.2,66.61,59.43,66.35,85.47,Yes,Bachelor,5.4,Yes,3,Yes,C
227,18,Female,4.41,88.01,74.42,61.54,64.29,Yes,Bachelor,5.48,No,5,No,C
228,20,Female,4.08,83.43,86.23,64.75,68.87,Yes,Bachelor,6.09,No,3,No,D
229,24,Female,4.37,83.46,78.02,80.2,85.64,Yes,Bachelor,6.52,No,7,No,D
230,23,Female,5.39,87.91,81.88,64.55,66.35,No,Master,5.6,No,1,Yes,D
231,20,Male,3.85,97.18,51.24,73.95,83.39,Yes,PhD,7.37,Yes,9,No,C
232,18,Male,4.08,91.3,80.98,70.33,56.43,Yes,PhD,7.43,No,9,No,B
233,23,Female,5.71,62.25,67.38,69.1,86.38,Yes,PhD,6.1,Yes,5,Yes,C
234,22,Female,3.5,94.11,78.1,78.42,77.13,Yes,High School,6.18,No,9,No,A
235,18,Male,4.93,69.02,74.71,64.26,70.67,Yes,Bachelor,6.31,No,6,Yes,B
236,20,Female,3.24,75.08,97.78,64.83,73.96,Yes,Bachelor,5.84,No,5,No,D
237,19,Female,3.38,78.47,80.47,79.57,52.7,Yes,Master,4.1,Yes,3,Yes,F
238,21,Male,3.84,79.24,73.87,58.16,73.62,Yes,Master,6.91,Yes,8,Yes,B
239,24,Female,4.77,77.41,59.9,59.44,69.87,No,High School,6.57,No,4,No,D
240,20,Female,5.79,97.49,76.21,54.88,53.11,Yes,High School,6.67,No,3,No,B
241,23,Male,4.14,88.24,83.23,80.19,61.93,Yes,PhD,5.99,No,6,Yes,B
242,18,Male,1.75,85.25,74.19,68.74,70.06,Yes,Master,7.81,Yes,8,Yes,C
243,21,Male,4.95,61.99,69.94,54.24,62.89,No,Bachelor,9.43,Yes,9,No,A
244,18,Female,7.68,96.16,69.27,80.25,35.82,Yes,PhD,6.17,Yes,6,No,F
245,23,Male,4.16,96.38,80.35,63.33,88.15,Yes,Bachelor,8.4,No,5,No,D
246,18,Male,1.44,91.21,82.59,59.54,69.87,Yes,PhD,7.37,Yes,2,No,B
247,19,Male,4.25,60.28,88.61,67.65,37.89,No,Bachelor,7.04,No,2,Yes,F
248,21,Male,4,62.29,65.05,87.74,104.02,No,High School,6.66,Yes,9,Yes,B
249,21,Male,3.87,69.01,80.26,65.26,90.62,Yes,PhD,6.92,No,2,Yes,A
250,23,Male,5.42,65.25,73.78,76.9,66.77,Yes,Bachelor,8.15,No,2,No,F
251,24,Female,6.07,75.95,74.08,78.72,59.36,Yes,Bachelor,5.86,Yes,3,No,D
252,19,Female,5.03,96.9,79.02,75.32,78.05,Yes,Master,6.72,No,3,Yes,B
253,20,Male,3.8,78.88,79.08,85.25,75.03,Yes,PhD,8.25,No,4,Yes,A
254,18,Male,5.69,60.54,80.29,61.51,80.13,Yes,Bachelor,7.98,No,7,Yes,F
255,22,Male,1.76,71.31,64.43,57.48,59.41,No,Master,5.88,Yes,9,Yes,B
256,18,Female,2.93,61.78,67.5,57.24,88.47,Yes,Bachelor,6.82,No,2,Yes,B
257,18,Female,3.09,61.45,89.86,68.27,64.9,Yes,PhD,7.73,Yes,4,Yes,D
258,20,Female,3.95,71.03,72.79,58.64,82.21,Yes,High School,7.66,Yes,9,No,A
259,18,Female,4.76,71.02,78.06,71.77,60.05,Yes,PhD,7.98,No,2,Yes,C
260,19,Female,3.7,91.49,85.55,70.92,111.72,Yes,PhD,7.38,Yes,1,Yes,B
261,19,Female,2.64,98.99,79.63,82.22,82.43,Yes,Bachelor,7.55,No,8,Yes,F
262,21,Female,5.46,74.85,80.47,73.49,115.26,Yes,Bachelor,7.34,Yes,9,Yes,D
263,23,Female,3.65,77.16,83.95,65.01,84.41,No,PhD,8.58,No,7,Yes,D
264,24,Female,4.15,93.79,53.83,74.93,63.58,Yes,Master,6.58,Yes,8,Yes,B
265,22,Male,4.83,70.73,70.1,57.64,84.44,Yes,Master,7.05,No,4,Yes,B
266,18,Male,4.06,66.26,79.69,69.54,85.51,Yes,Master,5.99,No,4,No,B
267,18,Male,4.06,94.12,88.88,73.83,77.6,Yes,Bachelor,5.79,No,2,Yes,C
268,20,Male,5.55,61.86,75.66,71.55,81.46,Yes,Bachelor,7.32,No,8,No,B
269,23,Female,4.23,84.79,66.55,74.98,83.43,Yes,PhD,6.28,Yes,2,No,A
270,19,Female,5.29,82.48,66.82,62.27,57.09,Yes,High School,6.94,Yes,9,No,F
271,22,Male,4.82,73.84,83.84,83.82,56.03,Yes,Bachelor,8.62,No,4,Yes,B
272,21,Female,7.03,72.61,72.82,91.87,60.09,Yes,PhD,8.56,Yes,1,Yes,C
273,19,Male,4.61,90.87,74.93,50.77,73.91,Yes,PhD,9.22,No,4,Yes,F
274,23,Female,4.96,63.46,81.15,55.41,68.65,Yes,High School,8.64,No,3,Yes,D
275,24,Male,5.65,69.47,45.98,70.52,57.37,No,Master,9.4,Yes,6,Yes,B
276,21,Female,4.1,89.3,95,66.92,83.63,Yes,PhD,7.44,Yes,7,Yes,F
277,24,Female,3.04,81.93,67.69,92.76,76.25,Yes,PhD,6.1,No,8,Yes,D
278,20,Male,3.29,65.12,77.42,72.64,74.53,No,PhD,6,Yes,2,Yes,C
279,20,Female,3.3,95.29,57.95,86.71,68.13,Yes,Master,8.4,No,6,Yes,A
280,18,Male,2.57,75.74,70.77,45.41,66.33,Yes,Master,7.05,Yes,6,Yes,B
281,24,Male,4.48,93.11,87.45,79.77,59.38,No,High School,7.13,Yes,5,No,A
282,23,Male,3.06,91.51,55.84,61.41,86.01,Yes,Bachelor,6.45,Yes,7,Yes,C
